ENSMUSG00000102693.2	4933401J01Rik	chr1
ENSMUSG00000064842.3	Gm26206	chr1
ENSMUSG00000051951.6	Xkr4	chr1
ENSMUSG00000102851.2	Gm18956	chr1
ENSMUSG00000103377.2	Gm37180	chr1
ENSMUSG00000104017.2	Gm37363	chr1
ENSMUSG00000103025.2	Gm37686	chr1
ENSMUSG00000089699.2	Gm1992	chr1
ENSMUSG00000103201.2	Gm37329	chr1
ENSMUSG00000103147.2	Gm7341	chr1
ENSMUSG00000103161.2	Gm38148	chr1
ENSMUSG00000102331.2	Gm19938	chr1
ENSMUSG00000102348.2	Gm10568	chr1
ENSMUSG00000102592.2	Gm38385	chr1
ENSMUSG00000088333.4	Gm27396	chr1
ENSMUSG00000102343.2	Gm37381	chr1
ENSMUSG00000025900.14	Rp1	chr1
ENSMUSG00000102948.2	Gm6101	chr1
ENSMUSG00000104123.2	Gm37483	chr1
ENSMUSG00000025902.14	Sox17	chr1
ENSMUSG00000104238.2	Gm37587	chr1
ENSMUSG00000102269.2	Gm7357	chr1
ENSMUSG00000118917.1	U6	chr1
ENSMUSG00000103003.2	Gm38076	chr1
ENSMUSG00000104328.2	Gm37323	chr1
ENSMUSG00000102735.2	Gm7369	chr1
ENSMUSG00000098104.2	Gm6085	chr1
ENSMUSG00000102175.2	Gm6119	chr1
ENSMUSG00002075947.1	U6	chr1
ENSMUSG00000103265.2	Gm2053	chr1
ENSMUSG00000103922.2	Gm6123	chr1
ENSMUSG00000033845.14	Mrpl15	chr1
ENSMUSG00000102275.2	Gm37144	chr1
ENSMUSG00000025903.15	Lypla1	chr1
ENSMUSG00000104217.2	Gm37988	chr1
ENSMUSG00000033813.16	Tcea1	chr1
ENSMUSG00000062588.5	Gm6104	chr1
ENSMUSG00000103280.2	Gm37277	chr1
ENSMUSG00000002459.18	Rgs20	chr1
ENSMUSG00000091305.2	Gm17100	chr1
ENSMUSG00000102653.2	Gm37079	chr1
ENSMUSG00000085623.2	Gm16041	chr1
ENSMUSG00000091665.2	Gm17101	chr1
ENSMUSG00000033793.13	Atp6v1h	chr1
ENSMUSG00000104352.2	Gm7182	chr1
ENSMUSG00000104046.2	Gm37567	chr1
ENSMUSG00000102907.2	Gm38264	chr1
ENSMUSG00000025905.15	Oprk1	chr1
ENSMUSG00000103936.2	Gm36965	chr1
